Date,Close points,Open points,Maximum points,Minimum Points,Volume,Variation
05.12.2014,"51992,89","51427,37","52023,97","51163,82","2,53M","1,10%"
04.12.2014,"51426,87","52320,48","52539,13","51073,96","2,91M","-1,71%"
03.12.2014,"52320,48","51610,92","52470,58","51610,92","2,72M","1,37%"
02.12.2014,"51612,47","52277,58","52639,71","51471,07","3,30M","-1,27%"
01.12.2014,"52276,58","54719,47","54719,47","52156,49","4,31M","-4,47%"
28.11.2014,54724,"54731,41","55436,29","54664,36","2,64M","0,00%"
27.11.2014,"54721,32","55099,55","56065,13","54592,74","2,29M","-0,68%"
26.11.2014,"55098,47",55561,"56099,79","54977,2","3,03M","-0,83%"
25.11.2014,"55560,81","55410,27","56386,64","55204,32","5,03M","0,28%"
24.11.2014,"55406,91","56085,98","57359,27","55292,35","4,59M","-1,21%"
21.11.2014,"56084,04","53403,06","56214,05","53403,06","6,03M","5,02%"
19.11.2014,"53402,81","52061,86","53402,81","52031,54","4,25M","2,58%"
18.11.2014,"52061,86","51257,05","52122,23","51067,46","3,64M","1,57%"
17.11.2014,"51256,99","51772,4","52222,64",51047,"2,82M","-1,00%"
16.11.2014,"51772,4","51772,4","51772,4","51772,4",-,"0,00%"
14.11.2014,"51772,4","51833,71","51899,9","50885,65","3,79M","-0,14%"
13.11.2014,"51846,03","52978,83","53322,89","51846,03","3,03M","-2,14%"
12.11.2014,"52978,89","52473,34","53435,43","52187,22","3,20M","0,96%"
11.11.2014,"52474,27","52718,22","52718,22","52003,02","2,68M","-0,48%"
10.11.2014,"52725,38","53222,85","53829,63","52716,2","2,97M","-0,93%"
07.11.2014,"53222,85","52637,06",53483,"52197,07","3,59M","1,11%"
06.11.2014,"52637,06","53696,81","53696,81","52417,76","3,69M","-1,98%"
05.11.2014,"53698,42","54383,59","54383,59","53588,79","2,90M","-1,26%"
04.11.2014,"54383,59","53947,21","54383,59","53431,87","3,53M","0,81%"
03.11.2014,"53947,21","54628,6","54628,6","53053,95","3,67M","-1,25%"
31.10.2014,"54628,6","52338,15","54628,6","52334,81","5,35M","4,38%"
30.10.2014,"52336,83","51049,32","52574,39","51049,32","4,30M","2,52%"
29.10.2014,"51049,32","52330,03","52330,03","51049,32","4,92M","-2,45%"
28.10.2014,"52330,03","50503,66","52374,3","50502,95","5,76M","3,62%"
27.10.2014,"50503,66","51937,39","51937,39","48722,29","8,00M","-2,77%"
24.10.2014,"51940,73","50687,41","53145,51","50595,7","5,85M","2,42%"
23.10.2014,"50713,26","52409,43","52409,43","50653,54","6,35M","-3,24%"
22.10.2014,"52411,03","52427,12","53229,42","52064,4","3,76M","-0,04%"
21.10.2014,"52432,43","54300,11","54300,11","51922,45","6,58M","-3,44%"
20.10.2014,"54302,57","55720,22","55720,22","54299,88","3,87M","-2,55%"
17.10.2014,"55723,79","54298,33","55948,64","54298,33","4,41M","2,63%"
16.10.2014,"54298,33","56123,85","56123,85","54132,08","5,43M","-3,27%"
15.10.2014,"56135,27","58012,31","58012,31","54919,04","5,67M","-3,24%"
14.10.2014,"58015,46","57945,6","58856,25","57258,12","3,90M","0,10%"
13.10.2014,"57956,53","55312,91","58747,38","55312,91","4,54M","4,78%"
10.10.2014,"55311,59","57266,06","57266,06","55311,59","3,64M","-3,42%"
09.10.2014,"57267,53","57079,24","58246,08","57076,88","4,50M","0,37%"
08.10.2014,"57058,48","57440,31","58190,86","56198,62","4,81M","-0,66%"
07.10.2014,"57436,33","57124,37","58317,95","57124,37","4,87M","0,56%"
06.10.2014,"57115,9","54542,32","58897,45","54542,32","6,71M","4,72%"
03.10.2014,"54539,55","53518,57","54539,55","53367,72","3,71M","1,91%"
02.10.2014,"53518,57","52858,61","54022,44","52480,48","3,99M","1,25%"
01.10.2014,"52858,43","54115,21","54115,21","52646,55","4,92M","-2,32%"
30.09.2014,"54115,98","54625,83","54625,83","53536,38","5,22M","-0,93%"
29.09.2014,"54625,35","57210,61","57210,61","54124,13","5,19M","-4,52%"
27.09.2014,"57212,38","57212,38","57212,38","57212,38",-,"0,00%"
26.09.2014,"57212,38","55965,21","57488,78","55946,01","2,98M","2,23%"
25.09.2014,"55962,08","56821,56","56821,56","55875,78","2,85M","-1,52%"
24.09.2014,"56824,42","56538,98","57130,7","55933,81","2,85M","0,50%"
23.09.2014,"56540,5","56818,11","57332,2","56086,44","3,32M","-0,49%"
22.09.2014,"56818,11","57787,94","57787,94","55974,22","3,81M","-1,68%"
19.09.2014,"57788,7","58355,9","58516,35","57513,84","3,46M","-1,00%"
18.09.2014,"58374,48","59107,69","59266,72","58118,28","3,85M","-1,24%"
17.09.2014,"59108,19","59115,3","60024,6","59095,71","3,53M","-0,01%"
16.09.2014,"59114,66","57948,76","60242,79","57946,15","4,88M","2,01%"
15.09.2014,"57948,76","56929,91","57948,76","56851,71","2,90M","1,79%"
13.09.2014,"56927,81","56927,81","56927,81","56927,81",-,"0,00%"
12.09.2014,"56927,81","58336,31","58336,31","56666,42","4,62M","-2,42%"
11.09.2014,"58337,29","58202,26","58808,63","58112,43","2,89M","0,24%"
10.09.2014,"58198,66","58674,6","58674,6","57449,62","3,81M","-0,81%"
09.09.2014,"58676,34","59157,79","59484,88","58306,19","4,46M","-0,87%"
08.09.2014,"59192,75","60708,13","61512,6","59191,34","4,39M","-2,45%"
05.09.2014,"60681,98","60800,26","61029,65","60243,71","3,81M","-0,19%"
