kW AC,Name,Year,Address
4.07,Cepeda Library,11/01/2012 12:00:00 AM,"651 N Pleasant Valley Rd
Austin, Texas
(30.259785, -97.709632)"
4,Givens Rec Center,11/01/2012 12:00:00 AM,"3811 East 12 St
Austin, Texas
(30.278373, -97.690739)"
46.57,South Austin Rec Center,11/01/2012 12:00:00 AM,"1100 Cumberland Dr
Austin, Texas
(30.241006, -97.768842)"
8.13,APD North Substation,11/01/2012 12:00:00 AM,"12425 Lamplight Village Ave
Austin, Texas
(30.413429, -97.696803)"
19.25,SWS-Gardner Service Center @ Todd Ln,11/01/2012 12:00:00 AM,"4108 Todd Lane
Austin, Texas
(30.210561, -97.738027)"
67.76,ABIA GTSA,11/01/2012 12:00:00 AM,"9300 Rental Car Ln
Austin, Texas
(30.212363, -97.671255)"
60.74,Gus Garcia,11/01/2013 12:00:00 AM,"1201 East Rundberg Lane
Austin, Texas
(30.354041, -97.681519)"
37.95,EMS #33,11/01/2012 12:00:00 AM,"4514 James Wheat St
Austin, Texas
(30.29982, -97.708642)"
28.46,Morris Williams Golf Course,11/01/2013 12:00:00 AM,"3851 Manor Rd
Austin, Texas
(30.290084, -97.694084)"
230.63,Decker PV300,11/01/2013 12:00:00 AM,"8003 Decker Lane
Austin, Texas
(30.305905, -97.618536)"
403.17,System Control Center,11/01/2013 12:00:00 AM,"2500 Montopolis Dr
Austin, Texas
(30.219858, -97.707145)"
